		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	LABELS	Inc_dum_pca	Inc_dum_pca	Inc_dum_pca	Inc_dum_pca	Inc_dum_pca	Inc_dum_pca	Inc_dum_Katz	Inc_dum_Katz	Inc_dum_Katz	Inc_dum_Katz	Inc_dum_Katz	Inc_dum_Katz
													
treatment__IFU_1	treatment__IFU_1	-0.291	-0.322	-0.331	-0.338	-0.481	-0.406	-0.071	-0.082	-0.087	-0.090	-0.130	-0.110
		(0.161)*	(0.145)**	(0.181)*	(0.167)**	(0.226)**	(0.218)*	(0.042)*	(0.038)**	(0.047)*	(0.044)**	(0.059)**	(0.057)*
treatment__IFU_2	treatment__IFU_2	-0.455	-0.486	-0.572	-0.579	-0.717	-0.642	-0.119	-0.129	-0.151	-0.154	-0.192	-0.172
		(0.173)***	(0.165)***	(0.206)***	(0.199)***	(0.228)***	(0.217)***	(0.045)***	(0.043)***	(0.053)***	(0.052)***	(0.060)***	(0.057)***
treatment__IFU_3	treatment__IFU_3	-0.046	-0.077	-0.097	-0.104	-0.126	-0.050	-0.012	-0.022	-0.023	-0.025	-0.030	-0.010
		(0.159)	(0.157)	(0.197)	(0.193)	(0.217)	(0.203)	(0.041)	(0.041)	(0.051)	(0.050)	(0.057)	(0.053)
treatmentEast_IFU_1	treatmentEast_IFU_1			0.202	0.083	0.952	0.422			0.081	0.041	0.294	0.141
				(0.398)	(0.331)	(0.631)	(0.615)			(0.105)	(0.087)	(0.165)*	(0.161)
treatmentEast_IFU_2	treatmentEast_IFU_2			0.585	0.466	1.310	0.780			0.164	0.123	0.369	0.215
				(0.319)*	(0.282)*	(0.543)**	(0.529)			(0.082)**	(0.074)*	(0.142)***	(0.139)
treatmentEast_IFU_3	treatmentEast_IFU_3			0.256	0.137	0.396	-0.134			0.057	0.016	0.094	-0.059
				(0.227)	(0.244)	(0.511)	(0.462)			(0.059)	(0.064)	(0.134)	(0.121)
treatmentPashtun_IFU_1	treatmentPashtun_IFU_1					-1.682	-0.948					-0.459	-0.251
						(1.039)	(1.006)					(0.271)*	(0.262)
treatmentPashtun_IFU_2	treatmentPashtun_IFU_2					-1.305	-0.570					-0.349	-0.141
						(0.900)	(0.904)					(0.235)	(0.237)
treatmentPashtun_IFU_3	treatmentPashtun_IFU_3					-0.177	0.558					-0.060	0.148
						(0.861)	(0.805)					(0.225)	(0.211)
treatmentOpium_IFU_1	treatmentOpium_IFU_1					-0.133	-0.109					-0.036	-0.030
						(0.102)	(0.098)					(0.027)	(0.026)
treatmentOpium_IFU_2	treatmentOpium_IFU_2					-0.151	-0.128					-0.040	-0.033
						(0.111)	(0.103)					(0.029)	(0.027)
treatmentOpium_IFU_3	treatmentOpium_IFU_3					0.098	0.122					0.026	0.032
						(0.143)	(0.141)					(0.037)	(0.037)
treatmentIncidents_IFU_1	treatmentIncidents_IFU_1					0.452	0.346					0.119	0.087
						(0.229)**	(0.204)*					(0.060)*	(0.054)
treatmentIncidents_IFU_2	treatmentIncidents_IFU_2					0.324	0.218					0.079	0.047
						(0.207)	(0.193)					(0.053)	(0.050)
treatmentIncidents_IFU_3	treatmentIncidents_IFU_3					-0.124	-0.230					-0.027	-0.059
						(0.177)	(0.183)					(0.046)	(0.048)
Inc_dum_pca_BS	Inc_dum_pca_BS		0.377		0.375		0.372						
			(0.043)***		(0.043)***		(0.045)***						
Inc_dum_Katz_BS	Inc_dum_Katz_BS								0.378		0.376		0.372
									(0.042)***		(0.042)***		(0.045)***
Constant	Constant	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
		(0.091)	(0.079)	(0.091)	(0.079)	(0.091)	(0.079)	(0.024)	(0.021)	(0.024)	(0.021)	(0.024)	(0.021)
													
Observations		1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500	1,500
R-squared		0.831	0.854	0.831	0.854	0.834	0.856	0.833	0.856	0.834	0.857	0.836	0.858
East in FU1				0.715	0.371	0.337	0.972			0.950	0.514	0.203	0.798
East in FU2				0.959	0.569	0.159	0.738			0.842	0.558	0.107	0.690
Robust standard errors in parentheses													
*** p<0.01, ** p<0.05, * p<0.1													
